category,rating,name,img,num,link
Games,,Clash Royale,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/cd2624421ba50d754c7b3e44f934ed807fe89a98d26a0a47a2b17f002d88d31d.jpg,,https://itunes.apple.com/us/app/clash-royale/id1053012308?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Games,,Stack,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/3f6c264533eff9ccb0a44d1b62f0d2faee505d7c25dce28525e199d311ae234d.jpg,,https://itunes.apple.com/us/app/stack/id1080487957?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Photo & Video,,Snapchat,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/8fb1fb5cf9e4933bb702fd6b9d15b885052ebdf4cb6d5f8c7870ccf88c1b00d9.jpg,,https://itunes.apple.com/us/app/snapchat/id447188370?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Games,,Color Switch,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/c1cda235e47135430e88758df7bbe5319a348f98984affd2e077692322c3ed5f.jpg,,https://itunes.apple.com/us/app/color-switch/id1053533457?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Social Networking,,Messenger,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/4e2e8a88927f15a9f8a57590a4604fb622e7bf5911e44380b279d9c73ab76ab9.jpg,,https://itunes.apple.com/us/app/messenger/id454638411?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Social Networking,,Facebook,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/93a91e438ca9ec0df9d75938b923b2509aa2ec75c5a0fdf72aec570f2b3f3d92.jpg,,https://itunes.apple.com/us/app/facebook/id284882215?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Photo & Video,,Instagram,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/bf69d81152f9a5ca46fb606bc9daab981799ce8f4e9c814dc3a526bbf12f1ca5.jpg,,https://itunes.apple.com/us/app/instagram/id389801252?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Photo & Video,,YouTube,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/5dc14437efa2e9ba4cd5a5f787e94423a53202f55e0208e3fcc7c1dc230a9a25.jpg,,https://itunes.apple.com/us/app/youtube/id544007664?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Games,,Faily Brakes,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/00e6dc6b6bc9eb2bc40d95f3dc10157de02c90b93e94a05c9fc355643958210c.jpg,,https://itunes.apple.com/us/app/faily-brakes/id1063191689?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Photo & Video,,MSQRD — Live Filters & Face Swap for Video Selfies,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/a88cecb987a78a3c397ddc7fccd6497d0b2869c92edf7032baab7639a45dc24d.jpg,,https://itunes.apple.com/us/app/msqrd-live-filters-face-swap/id1065249424?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Music,,Pandora - Free Music & Radio,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/bcc68a56e8db459eaafcaf327050935e9896d4cc97a376b755f3eb8734cb9efa.jpg,,https://itunes.apple.com/us/app/pandora-free-music-radio/id284035177?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Entertainment,,Netflix,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/c9f08e917dd3683c813387aa57fc5f642ba5398eaffbec2be379c373f11aff3f.jpg,,https://itunes.apple.com/us/app/netflix/id363590051?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Travel,,Uber,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/1f5146d36f954994aa4902f9b8fecc4c00a509e1ddd3354d05b333d8cafc3ec2.jpg,,https://itunes.apple.com/us/app/uber/id368677368?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Education,,iTunes U,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/ad870bac76fa18280fdfed3ce396ba8fab6552fba60b2945e95800f610c8fbeb.jpg,,https://itunes.apple.com/us/app/itunes-u/id490217893?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Music,,Spotify Music,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/47d4a67b71fd4c79c14c7c98e2af2301be770bdace5e6c16f5efd0f1deee3f7f.jpg,,https://itunes.apple.com/us/app/spotify-music/id324684580?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Education,,Toca Kitchen 2,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/dd813f6dabb280146b7c3e8400d3f36d50e9797b7295faa379b63877b56fef95.jpg,,https://itunes.apple.com/us/app/toca-kitchen-2/id943869618?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Navigation,,Google Maps,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/a2d975336b58e8f7f98795da6024c33af3ec6a6c58757d3a82b69e1d931f3d08.jpg,,https://itunes.apple.com/us/app/google-maps/id585027354?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Photo & Video,,musical.ly - your music video community,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/349cf524572024463ddcc73ed4120934025bbac02db47263f396bd6a8ca9009e.jpg,,https://itunes.apple.com/us/app/musical.ly-your-music-video/id835599320?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Productivity,,Gmail - email from Google,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/7d76b83eb07e24da2776b2a6958589fd4783d80a59c1b226f4b2b96fe2752f7a.jpg,,https://itunes.apple.com/us/app/gmail-email-from-google/id422689480?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Games,,Simulator Hoverboard,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/96cb68ab8ce71b5a6b7ba7afb2aba205805848d901fda9bfbfe5def910c371c8.jpg,,https://itunes.apple.com/us/app/simulator-hoverboard/id1078599766?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
Social Networking,,Pinterest,https://www.apple.com/autopush/us/itunes/charts/free-apps/images/2016/3/ecca1779b22b6d41178499e004d9c0ba714055df61927f5b744502e26d5e4300.jpg,,https://itunes.apple.com/us/app/pinterest/id429047995?mt=8&uo=4&v0=WWW-NAUS-ITSTOP100-FREEAPPS&l=en
